split,step,loss
train,40,9.932321548461914
train,80,9.631826400756836
train,120,9.50560474395752
train,160,9.377413749694824
train,200,9.316290855407715
train,240,9.23513126373291
train,280,9.141796112060547
train,320,9.149969100952148
train,360,9.060210227966309
train,400,9.03712272644043
train,440,9.040921211242676
train,480,8.954719543457031
train,520,8.978188514709473
train,560,8.930303573608398
train,600,8.89543342590332
train,640,8.90050983428955
train,680,8.86327075958252
train,720,8.813763618469238
train,760,8.847087860107422
train,800,8.78563117980957
train,840,8.800793647766113
train,880,8.714864730834961
train,920,8.754430770874023
train,960,8.768354415893555
train,1000,8.72309684753418
train,1040,8.735517501831055
train,1080,8.730392456054688
train,1120,8.748555183410645
train,1160,8.669370651245117
train,1200,8.603286743164062
train,1240,8.703997611999512
train,1280,8.593973159790039
train,1320,8.670930862426758
train,1360,8.627699851989746
train,1400,8.616703033447266
train,1440,8.619404792785645
train,1480,8.600357055664062
train,1520,8.574492454528809
train,1560,8.599991798400879
train,1600,8.592938423156738
train,1640,8.554668426513672
train,1680,8.528383255004883
train,1720,8.543354034423828
train,1760,8.553400993347168
train,1800,8.543434143066406
train,1840,8.555456161499023
train,1880,8.54634952545166
train,1920,8.521881103515625
train,1960,8.521829605102539
train,2000,8.500550270080566
validation_subset,40,9.719737648963928
validation_subset,80,9.513168096542358
validation_subset,120,9.38786518573761
validation_subset,160,9.292969226837158
validation_subset,200,9.218952894210815
validation_subset,240,9.15743339061737
validation_subset,280,9.107953667640686
validation_subset,320,9.064992547035217
validation_subset,360,9.024369239807129
validation_subset,400,8.989821910858154
validation_subset,440,8.958181858062744
validation_subset,480,8.927252054214478
validation_subset,520,8.900768160820007
validation_subset,560,8.875284552574158
validation_subset,600,8.851749897003174
validation_subset,640,8.829390048980713
validation_subset,680,8.807995438575745
validation_subset,720,8.788319110870361
validation_subset,760,8.770011901855469
validation_subset,800,8.75161063671112
validation_subset,840,8.734663844108582
validation_subset,880,8.717425346374512
validation_subset,920,8.702681183815002
validation_subset,960,8.68820321559906
validation_subset,1000,8.674179673194885
validation_subset,1040,8.660425782203674
validation_subset,1080,8.648128271102905
validation_subset,1120,8.637252569198608
validation_subset,1160,8.624584674835205
validation_subset,1200,8.613216996192932
validation_subset,1240,8.602402091026306
validation_subset,1280,8.59257984161377
validation_subset,1320,8.583285570144653
validation_subset,1360,8.572980403900146
validation_subset,1400,8.56399405002594
validation_subset,1440,8.555031895637512
validation_subset,1480,8.546515345573425
validation_subset,1520,8.537927269935608
validation_subset,1560,8.529782772064209
validation_subset,1600,8.522430300712585
validation_subset,1640,8.51443064212799
validation_subset,1680,8.506788849830627
validation_subset,1720,8.499568939208984
validation_subset,1760,8.49292778968811
validation_subset,1800,8.486061573028564
validation_subset,1840,8.479864716529846
validation_subset,1880,8.473283529281616
validation_subset,1920,8.467454552650452
validation_subset,1960,8.460781812667847
validation_subset,2000,8.454493522644043
