step=1 batch_answer_loss=45.1942 eval_answer_loss=14.5212 eval_answer_accuracy=0.0000
step=200 batch_answer_loss=2.8760 eval_answer_loss=2.8356 eval_answer_accuracy=0.0688
step=400 batch_answer_loss=2.7722 eval_answer_loss=2.8678 eval_answer_accuracy=0.0732
step=600 batch_answer_loss=2.9588 eval_answer_loss=2.9197 eval_answer_accuracy=0.0596
step=800 batch_answer_loss=2.8109 eval_answer_loss=2.8296 eval_answer_accuracy=0.0610
step=1000 batch_answer_loss=2.8821 eval_answer_loss=2.8897 eval_answer_accuracy=0.0693
step=1200 batch_answer_loss=2.7397 eval_answer_loss=2.8525 eval_answer_accuracy=0.0605
step=1400 batch_answer_loss=2.8799 eval_answer_loss=2.8416 eval_answer_accuracy=0.0596
step=1600 batch_answer_loss=2.7509 eval_answer_loss=2.8029 eval_answer_accuracy=0.0762
step=1800 batch_answer_loss=2.8519 eval_answer_loss=2.8505 eval_answer_accuracy=0.0518
step=2000 batch_answer_loss=2.7774 eval_answer_loss=2.7890 eval_answer_accuracy=0.0698
