step=1 batch_answer_loss=45.0865 eval_answer_loss=13.4784 eval_answer_accuracy=0.0000
step=200 batch_answer_loss=2.8383 eval_answer_loss=2.8186 eval_answer_accuracy=0.0845
step=400 batch_answer_loss=2.5533 eval_answer_loss=2.5778 eval_answer_accuracy=0.1533
step=600 batch_answer_loss=1.9067 eval_answer_loss=1.8815 eval_answer_accuracy=0.2358
step=800 batch_answer_loss=1.5826 eval_answer_loss=1.6764 eval_answer_accuracy=0.2407
step=1000 batch_answer_loss=1.6539 eval_answer_loss=1.7469 eval_answer_accuracy=0.2324
step=1200 batch_answer_loss=1.4782 eval_answer_loss=1.6020 eval_answer_accuracy=0.2500
step=1400 batch_answer_loss=1.5696 eval_answer_loss=1.5729 eval_answer_accuracy=0.2339
step=1600 batch_answer_loss=1.4170 eval_answer_loss=1.5455 eval_answer_accuracy=0.2373
step=1800 batch_answer_loss=1.5138 eval_answer_loss=1.5430 eval_answer_accuracy=0.2417
step=2000 batch_answer_loss=1.5239 eval_answer_loss=1.4868 eval_answer_accuracy=0.2480
