step=1 batch_answer_loss=45.8409 eval_answer_loss=14.3480 eval_answer_accuracy=0.0000
step=200 batch_answer_loss=2.8002 eval_answer_loss=2.7864 eval_answer_accuracy=0.0845
step=400 batch_answer_loss=1.7162 eval_answer_loss=1.8900 eval_answer_accuracy=0.2500
step=600 batch_answer_loss=1.6753 eval_answer_loss=1.6685 eval_answer_accuracy=0.2451
step=800 batch_answer_loss=1.5262 eval_answer_loss=1.5686 eval_answer_accuracy=0.2554
step=1000 batch_answer_loss=1.6235 eval_answer_loss=1.6478 eval_answer_accuracy=0.2417
step=1200 batch_answer_loss=1.4243 eval_answer_loss=1.5872 eval_answer_accuracy=0.2397
step=1400 batch_answer_loss=1.5775 eval_answer_loss=1.5374 eval_answer_accuracy=0.2349
step=1600 batch_answer_loss=1.4107 eval_answer_loss=1.5123 eval_answer_accuracy=0.2422
step=1800 batch_answer_loss=1.4641 eval_answer_loss=1.5311 eval_answer_accuracy=0.2368
step=2000 batch_answer_loss=1.5324 eval_answer_loss=1.4789 eval_answer_accuracy=0.2510
