candidate_guess_exact_baseline=0.1250 random_value_exact_baseline=0.0625 random_value_candidate_baseline=0.5000
step=1 batch_answer_loss=45.6868 eval_answer_loss=18.0727 eval_exact_answer_accuracy=0.0082 eval_candidate_value_accuracy=0.0740
step=200 batch_answer_loss=2.8036 eval_answer_loss=2.7825 eval_exact_answer_accuracy=0.0642 eval_candidate_value_accuracy=0.4727
step=400 batch_answer_loss=2.7591 eval_answer_loss=2.7705 eval_exact_answer_accuracy=0.0707 eval_candidate_value_accuracy=0.4458
step=600 batch_answer_loss=2.7346 eval_answer_loss=2.7238 eval_exact_answer_accuracy=0.0662 eval_candidate_value_accuracy=0.4401
step=800 batch_answer_loss=2.7233 eval_answer_loss=2.7116 eval_exact_answer_accuracy=0.0678 eval_candidate_value_accuracy=0.4389
step=1000 batch_answer_loss=2.7168 eval_answer_loss=2.7210 eval_exact_answer_accuracy=0.0697 eval_candidate_value_accuracy=0.4384
step=1200 batch_answer_loss=2.6900 eval_answer_loss=2.6997 eval_exact_answer_accuracy=0.0693 eval_candidate_value_accuracy=0.4415
step=1400 batch_answer_loss=2.7060 eval_answer_loss=2.6974 eval_exact_answer_accuracy=0.0669 eval_candidate_value_accuracy=0.4410
step=1600 batch_answer_loss=2.7054 eval_answer_loss=2.6984 eval_exact_answer_accuracy=0.0667 eval_candidate_value_accuracy=0.4390
step=1800 batch_answer_loss=2.7113 eval_answer_loss=2.6992 eval_exact_answer_accuracy=0.0701 eval_candidate_value_accuracy=0.4359
step=2000 batch_answer_loss=2.6886 eval_answer_loss=2.6931 eval_exact_answer_accuracy=0.0715 eval_candidate_value_accuracy=0.4387
