step,batch_answer_loss,eval_answer_loss,eval_exact_answer_accuracy,eval_candidate_value_accuracy,eval_mean_address_movement
1,45.686798095703125,18.072707056999207,0.0081787109375,0.073974609375,
200,2.8036234378814697,2.7825199514627457,0.064208984375,0.47265625,
400,2.7591347694396973,2.770547680556774,0.07073974609375,0.44580078125,
600,2.7345831394195557,2.7238332480192184,0.066162109375,0.4400634765625,
800,2.7233071327209473,2.711566388607025,0.06781005859375,0.43890380859375,
1000,2.716768264770508,2.721000298857689,0.0697021484375,0.43841552734375,
1200,2.6899783611297607,2.699731335043907,0.0693359375,0.4415283203125,
1400,2.7059712409973145,2.6974345073103905,0.06689453125,0.44097900390625,
1600,2.705364227294922,2.698429837822914,0.06671142578125,0.4390869140625,
1800,2.711324453353882,2.6992214992642403,0.07012939453125,0.43585205078125,
2000,2.6886048316955566,2.693145975470543,0.071533203125,0.438720703125,
