step,batch_answer_loss,eval_answer_loss,eval_exact_answer_accuracy,eval_candidate_value_accuracy,eval_mean_address_movement
1,46.73994827270508,21.05757564306259,0.00762939453125,0.0615234375,
200,2.7849373817443848,2.7445261776447296,0.1038818359375,0.84368896484375,
400,1.8738853931427002,1.8552717827260494,0.28369140625,0.993896484375,
600,1.5618797540664673,1.546616017818451,0.32373046875,0.9996337890625,
800,1.4864606857299805,1.4893964752554893,0.33489990234375,1.0,
1000,1.3978266716003418,1.4250510931015015,0.33929443359375,1.0,
1200,1.406759262084961,1.4095616713166237,0.34686279296875,1.0,
1400,1.3782505989074707,1.3949775621294975,0.34014892578125,0.99993896484375,
1600,1.3968391418457031,1.3769213408231735,0.33935546875,1.0,
1800,1.3764530420303345,1.3833738751709461,0.3406982421875,1.0,
2000,1.3586233854293823,1.363355815410614,0.33843994140625,1.0,
