step,batch_answer_loss,eval_answer_loss,eval_exact_answer_accuracy,eval_candidate_value_accuracy,eval_mean_address_movement
1,43.551029205322266,17.92207819223404,0.02325439453125,0.19598388671875,
200,2.8040237426757812,2.7766289710998535,0.074462890625,0.5118408203125,
400,2.737637996673584,2.729235529899597,0.08575439453125,0.54168701171875,
600,2.2362780570983887,2.232659675180912,0.1568603515625,0.99102783203125,
800,2.002659797668457,2.002520799636841,0.1580810546875,1.0,
1000,1.9188475608825684,1.9260256253182888,0.158203125,1.0,
1200,1.9211828708648682,1.9136415533721447,0.160400390625,1.0,
1400,1.9147661924362183,1.9108493961393833,0.15924072265625,1.0,
1600,1.8972151279449463,1.9093213863670826,0.15631103515625,1.0,
1800,1.766951084136963,1.7767616473138332,0.2347412109375,1.0,
2000,1.684807538986206,1.6620423793792725,0.239501953125,1.0,
