run,name,seed,scale,final_step,final_eval_answer_loss,final_exact_accuracy,final_candidate_accuracy,final_mean_address_movement
M-015a,015a_address_drift_frozen,1337,0.0,4000,1.5893514454364777,0.244140625,1.0,0.0
M-015b,015b_address_drift_scale_001,1337,0.01,4000,1.5931428112089634,0.2388916015625,1.0,0.0009748111478984356
M-015c,015c_address_drift_scale_005,1337,0.05,4000,1.5897675789892673,0.23846435546875,1.0,0.005021073156967759
M-015d,015d_address_drift_scale_010,1337,0.1,4000,1.4555916003882885,0.32220458984375,1.0,0.013066204614005983
M-015e,015e_address_drift_scale_0075,1337,0.075,4000,1.3910735845565796,0.3468017578125,1.0,0.008790128020336851
M-015f,015f_address_drift_scale_010_repeat,1337,0.1,4000,1.4555916003882885,0.32220458984375,1.0,0.013066204614005983
M-015g,015g_address_drift_scale_015,1337,0.15,4000,1.393904160708189,0.34466552734375,1.0,0.027474813628941774
M-015h,015h_address_drift_scale_020,1337,0.2,4000,1.388192880898714,0.341064453125,1.0,0.02058304165257141
M-015i,015i_address_drift_frozen_seed2026,2026,0.0,4000,1.3777762576937675,0.3426513671875,1.0,0.0
M-015j,015j_address_drift_scale_0075_seed2026,2026,0.075,4000,1.5216649398207664,0.28045654296875,1.0,0.010714295669458807
M-015k,015k_address_drift_scale_015_seed2026,2026,0.15,4000,1.5085746794939041,0.29180908203125,1.0,0.03302642470225692
M-015l,015l_address_drift_scale_020_seed2026,2026,0.2,4000,1.3979157283902168,0.3448486328125,1.0,0.04521700111217797
M-015m,015m_address_drift_frozen_seed7,7,0.0,4000,1.4080739840865135,0.33447265625,1.0,0.0
M-015n,015n_address_drift_scale_020_seed7,7,0.2,4000,1.4014791809022427,0.337158203125,1.0,0.04827776434831321
M-015o,015o_address_drift_frozen_seed42,42,0.0,4000,1.4060167260468006,0.3389892578125,1.0,0.0
M-015p,015p_address_drift_scale_020_seed42,42,0.2,4000,1.3894044943153858,0.3446044921875,1.0,0.05619137536268681
