run,name,seed,address_init_mode,num_memory_slots,top_k_memory_reads,final_step,exact_at_2000,final_eval_answer_loss,final_exact_accuracy,final_candidate_accuracy,final_mean_address_movement
M-016a,016a_address_geometry_learned_seed1337,1337,learned_random,64,8,4000,0.23345947265625,1.5916496999561787,0.2386474609375,1.0,0.0
M-016b,016b_address_geometry_fixed_random_seed1337,1337,fixed_random,64,8,4000,0.23590087890625,1.581467729061842,0.2362060546875,1.0,0.0
M-016c,016c_address_geometry_fixed_spread_seed1337,1337,fixed_spread,64,8,4000,0.16461181640625,1.4177092835307121,0.34417724609375,1.0,0.0
M-016d,016d_address_geometry_learned_seed2026,2026,learned_random,64,8,4000,0.3309326171875,1.3703683242201805,0.34564208984375,1.0,0.0
M-016e,016e_address_geometry_fixed_random_seed2026,2026,fixed_random,64,8,4000,0.334716796875,1.4004224836826324,0.34136962890625,1.0,0.0
M-016f,016f_address_geometry_fixed_spread_seed2026,2026,fixed_spread,64,8,4000,0.23626708984375,1.5679443553090096,0.24267578125,1.0,0.0
M-016g,016g_address_geometry_learned_unit_seed1337,1337,learned_unit_random,64,8,4000,0.33502197265625,1.401533655822277,0.33489990234375,1.0,0.0
M-016h,016h_address_geometry_learned_unit_seed2026,2026,learned_unit_random,64,8,4000,0.27362060546875,1.4991845898330212,0.3021240234375,1.0,0.0
M-016i,016i_address_geometry_learned_seed7,7,learned_random,64,8,4000,0.26104736328125,1.3962861858308315,0.33673095703125,1.0,0.0
M-016j,016j_address_geometry_fixed_spread_seed7,7,fixed_spread,64,8,4000,0.2607421875,1.55877885222435,0.25994873046875,1.0,0.0
M-016k,016k_address_geometry_learned_unit_seed7,7,learned_unit_random,64,8,4000,0.26483154296875,1.5158005952835083,0.29766845703125,1.0,0.0
M-016l,016l_address_geometry_learned_seed42,42,learned_random,64,8,4000,0.1591796875,1.4064227491617203,0.34051513671875,0.99993896484375,0.0
M-016m,016m_address_geometry_fixed_spread_seed42,42,fixed_spread,64,8,4000,0.2432861328125,1.5797816775739193,0.23309326171875,1.0,0.0
M-016n,016n_address_geometry_learned_unit_seed42,42,learned_unit_random,64,8,4000,0.33966064453125,1.3769997023046017,0.34344482421875,1.0,0.0
M-016o,016o_address_geometry_learned_slots128_seed1337,1337,learned_random,128,8,4000,0.20172119140625,1.589066844433546,0.2413330078125,1.0,0.0
M-016p,016p_address_geometry_learned_topk16_seed1337,1337,learned_random,64,16,4000,0.23480224609375,1.5871609188616276,0.23760986328125,1.0,0.0
M-016q,016q_address_geometry_fixed_spread_topk16_seed2026,2026,fixed_spread,64,16,4000,0.27679443359375,1.522334013134241,0.27178955078125,1.0,0.0
M-016r,016r_address_geometry_fixed_spread_slots128_seed2026,2026,fixed_spread,128,8,4000,0.23760986328125,1.5835277363657951,0.23828125,1.0,0.0
