step,train_loss,val_loss,step_time_ms,tokens_per_second
0,3.14991,3.14374,88.6674,1443.6
100,2.66681,2.64307,88.5066,1446.22
200,2.59264,2.59734,88.6148,1444.45
300,2.56364,2.57718,88.4605,1446.97
400,2.55675,2.54052,88.5634,1445.29
500,2.50512,2.48772,88.631,1444.19
600,2.49498,2.47686,88.3641,1448.55
700,2.48855,2.48351,88.3041,1449.54
800,2.47129,2.45942,88.3443,1448.88
900,2.45213,2.4499,88.3591,1448.63
1000,2.44491,2.43776,88.3098,1449.44
1100,2.42733,2.44517,88.2981,1449.64
1200,2.40451,2.42089,88.2573,1450.3
1300,2.41844,2.43173,88.183,1451.53
1400,2.39712,2.41447,88.1947,1451.33
1500,2.37987,2.42506,88.0955,1452.97
1600,2.39172,2.41889,88.2933,1449.71
1700,2.40537,2.41074,88.9001,1439.82
1800,2.38695,2.41708,87.9025,1456.16
1900,2.37574,2.40609,88.1441,1452.17
2000,2.38315,2.39509,88.1718,1451.71
2100,2.38918,2.39865,87.9012,1456.18
2200,2.3662,2.38438,88.0098,1454.38
2300,2.36251,2.42314,88.2603,1450.25
2400,2.36848,2.37384,88.1919,1451.38
2500,2.35193,2.36727,87.8699,1456.7
2600,2.36682,2.36168,87.9263,1455.77
2700,2.34199,2.36734,87.8024,1457.82
2800,2.35407,2.37501,87.7085,1459.38
2900,2.36073,2.36342,87.9169,1455.92
3000,2.34761,2.37432,87.8352,1457.27
3100,2.3527,2.37129,87.8958,1456.27
3200,2.33611,2.35512,88.7609,1442.08
3300,2.31919,2.34465,87.9595,1455.22
3400,2.37083,2.36571,87.9032,1456.15
3500,2.33069,2.37148,87.914,1455.97
3600,2.33837,2.35326,87.7,1459.52
3700,2.32761,2.35764,87.729,1459.04
3800,2.33417,2.36752,87.8157,1457.6
3900,2.33413,2.34005,87.7133,1459.3
4000,2.32072,2.36582,87.9373,1455.58
4100,2.32418,2.35783,87.8082,1457.72
4200,2.3295,2.34525,87.7252,1459.1
4300,2.306,2.34426,87.7553,1458.6
4400,2.31043,2.36754,88.285,1449.85
4500,2.3072,2.34087,87.7397,1458.86
4600,2.321,2.36713,88.1516,1452.04
4700,2.34843,2.34794,87.7311,1459
4800,2.31169,2.30683,87.7563,1458.58
4900,2.29956,2.35937,106.602,1200.73
5000,2.30809,2.3488,89.7855,1425.62
5100,2.29482,2.33373,90.2489,1418.3
5200,2.29333,2.36818,88.1527,1452.03
5300,2.30849,2.3657,87.7624,1458.48
5400,2.30608,2.35946,87.6603,1460.18
5500,2.3117,2.36456,87.7428,1458.81
5600,2.33484,2.34356,87.77,1458.36
5700,2.31262,2.36365,87.6998,1459.52
5800,2.31397,2.33855,87.8646,1456.79
5900,2.32549,2.32288,87.7926,1457.98
6000,2.28472,2.32829,87.7205,1459.18
6100,2.28758,2.31754,87.7829,1458.14
6200,2.2995,2.34174,87.845,1457.11
6300,2.29294,2.33684,87.9952,1454.63
6400,2.25789,2.32489,87.6793,1459.87
6500,2.28961,2.35116,87.812,1457.66
6600,2.30469,2.35216,87.6602,1460.18
6700,2.29439,2.33779,87.8974,1456.24
6800,2.28688,2.34839,87.7995,1457.87
6900,2.27972,2.3358,87.8225,1457.49
7000,2.27631,2.339,87.9408,1455.52
7100,2.28898,2.32542,87.6828,1459.81
7200,2.30702,2.30492,87.6153,1460.93
7300,2.29239,2.31882,87.6227,1460.81
7400,2.27509,2.31895,87.7671,1458.4
7500,2.30188,2.31869,87.6235,1460.79
7600,2.26799,2.33018,87.6462,1460.42
7700,2.27944,2.33526,87.7678,1458.39
7800,2.28544,2.31857,87.7246,1459.11
7900,2.27845,2.31288,87.6155,1460.93
8000,2.27285,2.3415,87.9207,1455.86
8100,2.25806,2.31716,87.6288,1460.71
8200,2.26326,2.32725,87.7855,1458.1
8300,2.28398,2.31332,87.9515,1455.35
8400,2.28799,2.33451,87.68,1459.85
8500,2.29252,2.3376,89.1441,1435.88
8600,2.25793,2.29173,87.6061,1461.09
8700,2.26824,2.30048,87.8496,1457.04
8800,2.26899,2.3086,87.8095,1457.7
8900,2.25962,2.34546,87.7331,1458.97
9000,2.28386,2.33523,87.7627,1458.48
9100,2.26705,2.32702,88.0879,1453.09
9200,2.26487,2.29975,87.961,1455.19
9300,2.26258,2.33442,87.6945,1459.61
9400,2.24989,2.31753,87.8556,1456.94
9500,2.26562,2.33123,87.9779,1454.91
9600,2.25703,2.33595,87.7875,1458.07
9700,2.27024,2.30738,87.6615,1460.16
9800,2.2833,2.29812,87.6365,1460.58
9900,2.27036,2.31192,87.7754,1458.27
