section,total_seconds,wall_share_percent,calls,average_milliseconds
train.forward_backward_step,887.621,72.0653,10000,88.7621
model.forward_backward,887.479,72.0538,10000,88.7479
model.forward,635.889,51.6274,20000,31.7944
decoder.forward,592.141,48.0755,20000,29.607
decoder_block.forward,591.652,48.0358,80000,7.39565
decoder.backward,522.845,42.4494,10000,52.2845
decoder_block.backward,522.357,42.4098,40000,13.0589
train.validation_step,331.374,26.904,10000,33.1374
model.forward_loss,331.264,26.8951,10000,33.1264
feed_forward.forward,317.658,25.7904,80000,3.97072
attention.backward,274.641,22.2979,40000,6.86603
attention.forward,257.169,20.8794,80000,3.21462
feed_forward.backward,238.145,19.3349,40000,5.95364
model.compute_logits_and_loss,42.9884,3.4902,20000,2.14942
model.backward_logits,29.643,2.40669,10000,2.9643
train.optimizer_step,12.6437,1.02654,10000,1.26437
model.update,12.6404,1.02627,10000,1.26404
param.update,12.5208,1.01656,430000,0.0291182
rms_norm.forward,11.086,0.900064,160000,0.0692874
rms_norm.backward,5.98118,0.485608,80000,0.0747648
model.compute_input_embeddings,0.685999,0.0556958,20000,0.0343
model.accumulate_embedding_grads,0.227825,0.018497,10000,0.0227825
train.generate_batch,0.218475,0.0177378,20000,0.0109237
